# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3659624	3660838	-							BT_RS14790	1215		old_locus_tag=BT2918,BT_2918
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3659624	3660838	-	WP_008767203.1	WP_008767203.1		DUF5126 domain-containing protein			BT_RS14790	1215	404	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3660858	3662780	-							BT_RS14795	1923		old_locus_tag=BT2919,BT_2919
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3660858	3662780	-	WP_008767204.1	WP_008767204.1		RagB/SusD family nutrient uptake outer membrane protein			BT_RS14795	1923	640	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3662793	3665987	-							BT_RS14800	3195		old_locus_tag=BT2920,BT_2920
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3662793	3665987	-	WP_008767205.1	WP_008767205.1		TonB-dependent receptor			BT_RS14800	3195	1064	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3666005	3667087	-							BT_RS14805	1083		old_locus_tag=BT2921,BT_2921
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3666005	3667087	-	WP_008767206.1	WP_008767206.1		glycoside hydrolase family 88 protein			BT_RS14805	1083	360	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3667119	3668933	-							BT_RS14810	1815		old_locus_tag=BT2922,BT_2922
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3667119	3668933	-	WP_008767207.1	WP_008767207.1		beta-galactosidase			BT_RS14810	1815	604	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3669244	3673260	-							BT_RS14815	4017		old_locus_tag=BT2923,BT_2923
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3669244	3673260	-	WP_011108531.1	WP_011108531.1		hybrid sensor histidine kinase/response regulator transcription factor			BT_RS14815	4017	1338	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3673360	3675420	-							BT_RS14820	2061		old_locus_tag=BT2924,BT_2924
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3673360	3675420	-	WP_011108532.1	WP_011108532.1		acetate--CoA ligase			BT_RS14820	2061	686	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3675806	3676534	-							BT_RS24690	729		old_locus_tag=BT2925,BT_2925
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3675806	3676534	-	WP_225011830.1	WP_225011830.1		hypothetical protein			BT_RS24690	729	242	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3676619	3677737	-							BT_RS14830	1119		old_locus_tag=BT2926,BT_2926
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3676619	3677737	-	WP_011108534.1	WP_011108534.1		hypothetical protein			BT_RS14830	1119	372	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3677740	3680955	-							BT_RS14835	3216		old_locus_tag=BT2927,BT_2927
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3677740	3680955	-	WP_162303086.1	WP_162303086.1		DUF6443 domain-containing protein			BT_RS14835	3216	1071	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3680974	3684576	-							BT_RS14840	3603		old_locus_tag=BT2928,BT_2928
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3680974	3684576	-	WP_162303087.1	WP_162303087.1		hypothetical protein			BT_RS14840	3603	1200	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3684698	3684793	-							BT_RS14845	96		
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3684698	3684793	-	WP_008767215.1	WP_008767215.1		smalltalk protein			BT_RS14845	96	31	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3685121	3685639	-							BT_RS14855	519		old_locus_tag=BT2929,BT_2929
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3685121	3685639	-	WP_008767216.1	WP_008767216.1		HU family DNA-binding protein			BT_RS14855	519	172	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3685823	3686728	-							BT_RS14860	906		old_locus_tag=BT2930,BT_2930
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3685823	3686728	-	WP_011108537.1	WP_011108537.1		DUF4373 domain-containing protein			BT_RS14860	906	301	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3686777	3687100	-							BT_RS14865	324		
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3686777	3687100	-	WP_162303088.1	WP_162303088.1		hypothetical protein			BT_RS14865	324	107	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3687545	3688270	+							BT_RS14870	726		old_locus_tag=BT2932,BT_2932
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3687545	3688270	+	WP_011108539.1	WP_011108539.1		helix-turn-helix domain-containing protein			BT_RS14870	726	241	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3688414	3690453	+					metG		BT_RS14875	2040		old_locus_tag=BT2933,BT_2933
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3688414	3690453	+	WP_008767220.1	WP_008767220.1		methionine--tRNA ligase	metG		BT_RS14875	2040	679	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3690702	3692150	+							BT_RS14880	1449		old_locus_tag=BT2934,BT_2934
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3690702	3692150	+	WP_011108540.1	WP_011108540.1		lipopolysaccharide biosynthesis protein			BT_RS14880	1449	482	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3692147	3693250	+							BT_RS14885	1104		old_locus_tag=BT2935,BT_2935
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3692147	3693250	+	WP_008767223.1	WP_008767223.1		hypothetical protein			BT_RS14885	1104	367	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3693238	3694437	+							BT_RS14890	1200		old_locus_tag=BT2936,BT_2936
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3693238	3694437	+	WP_008767224.1	WP_008767224.1		glycosyltransferase family 4 protein			BT_RS14890	1200	399	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3694434	3695567	+							BT_RS14895	1134		old_locus_tag=BT2937,BT_2937
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3694434	3695567	+	WP_008767225.1	WP_008767225.1		glycosyltransferase			BT_RS14895	1134	377	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3695564	3696790	+							BT_RS14900	1227		old_locus_tag=BT2938,BT_2938
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3695564	3696790	+	WP_011108541.1	WP_011108541.1		glycosyltransferase family 4 protein			BT_RS14900	1227	408	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3696762	3697673	-							BT_RS14905	912		old_locus_tag=BT2939,BT_2939
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3696762	3697673	-	WP_008767227.1	WP_008767227.1		helix-turn-helix domain-containing protein			BT_RS14905	912	303	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3697897	3699000	+							BT_RS14910	1104		old_locus_tag=BT2940,BT_2940
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3697897	3699000	+	WP_008761836.1	WP_008761836.1		efflux RND transporter periplasmic adaptor subunit			BT_RS14910	1104	367	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3699015	3702191	+							BT_RS14915	3177		old_locus_tag=BT2941,BT_2941
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3699015	3702191	+	WP_011108542.1	WP_011108542.1		efflux RND transporter permease subunit			BT_RS14915	3177	1058	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3702207	3703571	+							BT_RS14920	1365		old_locus_tag=BT2942,BT_2942
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3702207	3703571	+	WP_008767229.1	WP_008767229.1		TolC family protein			BT_RS14920	1365	454	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3703733	3705391	-							BT_RS14925	1659		old_locus_tag=BT2943,BT_2943
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3703733	3705391	-	WP_011108543.1	WP_011108543.1		NeuD/PglB/VioB family sugar acetyltransferase			BT_RS14925	1659	552	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3706071	3707201	-					wecB		BT_RS14930	1131		old_locus_tag=BT2944,BT_2944
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3706071	3707201	-	WP_008767232.1	WP_008767232.1		UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)	wecB		BT_RS14930	1131	376	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3707252	3708454	-					wecC		BT_RS14935	1203		old_locus_tag=BT2945,BT_2945
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3707252	3708454	-	WP_008767233.1	WP_008767233.1		UDP-N-acetyl-D-mannosamine dehydrogenase	wecC		BT_RS14935	1203	400	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3708560	3709825	+							BT_RS14940	1266		old_locus_tag=BT2946,BT_2946
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3708560	3709825	+	WP_008767234.1	WP_008767234.1		glycosyltransferase family 4 protein			BT_RS14940	1266	421	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3709818	3710573	+							BT_RS14945	756		old_locus_tag=BT2947,BT_2947
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3709818	3710573	+	WP_011108544.1	WP_011108544.1		glycosyltransferase			BT_RS14945	756	251	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3710631	3713324	-							BT_RS14950	2694		old_locus_tag=BT2948,BT_2948
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3710631	3713324	-	WP_008767236.1	WP_008767236.1		GH92 family glycosyl hydrolase			BT_RS14950	2694	897	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3713336	3714526	-							BT_RS14955	1191		old_locus_tag=BT2949,BT_2949
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3713336	3714526	-	WP_008767237.1	WP_008767237.1		alpha-1,6-mannanase			BT_RS14955	1191	396	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3714548	3715495	-							BT_RS14960	948		old_locus_tag=BT2950,BT_2950
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3714548	3715495	-	WP_008767238.1	WP_008767238.1		LamG domain-containing protein			BT_RS14960	948	315	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3715522	3717060	-							BT_RS14965	1539		old_locus_tag=BT2951,BT_2951
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3715522	3717060	-	WP_008767239.1	WP_008767239.1		RagB/SusD family nutrient uptake outer membrane protein			BT_RS14965	1539	512	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3717066	3720032	-							BT_RS14970	2967		old_locus_tag=BT2952,BT_2952
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3717066	3720032	-	WP_008767240.1	WP_008767240.1		TonB-dependent receptor			BT_RS14970	2967	988	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3720092	3721099	-					rhaT		BT_RS14975	1008		old_locus_tag=BT2953,BT_2953
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3720092	3721099	-	WP_008767241.1	WP_008767241.1		L-rhamnose/proton symporter RhaT	rhaT		BT_RS14975	1008	335	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3721107	3721532	-							BT_RS14980	426		old_locus_tag=BT2954,BT_2954
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3721107	3721532	-	WP_008767242.1	WP_008767242.1		hypothetical protein			BT_RS14980	426	141	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3721561	3723705	-							BT_RS14985	2145		old_locus_tag=BT2955,BT_2955
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3721561	3723705	-	WP_008767243.1	WP_008767243.1		formate acetyltransferase			BT_RS14985	2145	714	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3723702	3724601	-							BT_RS14990	900		old_locus_tag=BT2956,BT_2956
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3723702	3724601	-	WP_008767244.1	WP_008767244.1		glycyl-radical enzyme activating protein			BT_RS14990	900	299	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3724799	3725635	+							BT_RS14995	837		old_locus_tag=BT2957,BT_2957
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3724799	3725635	+	WP_008767245.1	WP_008767245.1		helix-turn-helix transcriptional regulator			BT_RS14995	837	278	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3725843	3728212	-							BT_RS15000	2370		old_locus_tag=BT2958,BT_2958
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3725843	3728212	-	WP_008767247.1	WP_008767247.1		glycosyl hydrolase 115 family protein			BT_RS15000	2370	789	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3728218	3729600	-							BT_RS15005	1383		old_locus_tag=BT2959,BT_2959
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3728218	3729600	-	WP_008767248.1	WP_008767248.1		family 43 glycosylhydrolase			BT_RS15005	1383	460	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3730365	3731222	-							BT_RS15010	858		old_locus_tag=BT2961,BT_2961
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3730365	3731222	-	WP_008761827.1	WP_008761827.1		SGNH/GDSL hydrolase family protein			BT_RS15010	858	285	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3731488	3734430	-							BT_RS15015	2943		old_locus_tag=BT2963,BT_2963
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3731488	3734430	-	WP_008767250.1	WP_008767250.1		glycoside hydrolase family 88 protein			BT_RS15015	2943	980	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3734427	3736586	-							BT_RS15020	2160		old_locus_tag=BT2964,BT_2964
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3734427	3736586	-	WP_008767251.1	WP_008767251.1		polysaccharide lyase 8 family protein			BT_RS15020	2160	719	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3736726	3737397	-							BT_RS15025	672		old_locus_tag=BT2965,BT_2965
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3736726	3737397	-	WP_008767252.1	WP_008767252.1		DUF4998 domain-containing protein			BT_RS15025	672	223	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3737421	3738668	-							BT_RS15030	1248		old_locus_tag=BT2966,BT_2966
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3737421	3738668	-	WP_008767253.1	WP_008767253.1		DUF5126 domain-containing protein			BT_RS15030	1248	415	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3738692	3740638	-							BT_RS15035	1947		old_locus_tag=BT2967,BT_2967
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3738692	3740638	-	WP_008767254.1	WP_008767254.1		RagB/SusD family nutrient uptake outer membrane protein			BT_RS15035	1947	648	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3740650	3743808	-							BT_RS15040	3159		old_locus_tag=BT2968,BT_2968
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3740650	3743808	-	WP_008767255.1	WP_008767255.1		TonB-dependent receptor			BT_RS15040	3159	1052	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3743935	3746043	-							BT_RS15045	2109		old_locus_tag=BT2969,BT_2969
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3743935	3746043	-	WP_008767256.1	WP_008767256.1		beta-galactosidase			BT_RS15045	2109	702	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3746063	3747493	-							BT_RS15050	1431		old_locus_tag=BT2970,BT_2970
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3746063	3747493	-	WP_032841307.1	WP_032841307.1		alpha-L-fucosidase			BT_RS15050	1431	476	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3747864	3751904	-							BT_RS15055	4041		old_locus_tag=BT2971,BT_2971
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3747864	3751904	-	WP_011108547.1	WP_011108547.1		ATP-binding protein			BT_RS15055	4041	1346	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3752330	3753103	+							BT_RS15060	774		old_locus_tag=BT2972,BT_2972
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3752330	3753103	+	WP_011108548.1	WP_011108548.1		class I SAM-dependent methyltransferase			BT_RS15060	774	257	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3753178	3753528	+							BT_RS15065	351		old_locus_tag=BT2973,BT_2973
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3753178	3753528	+	WP_011108549.1	WP_011108549.1		AraC family transcriptional regulator			BT_RS15065	351	116	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3753543	3753761	+							BT_RS15070	219		old_locus_tag=BT2974,BT_2974
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3753543	3753761	+	WP_008767260.1	WP_008767260.1		hypothetical protein			BT_RS15070	219	72	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3753745	3754449	-							BT_RS15075	705		old_locus_tag=BT2975,BT_2975
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3753745	3754449	-	WP_011108550.1	WP_011108550.1		NAD-dependent deacylase			BT_RS15075	705	234	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3754921	3755505	+							BT_RS15080	585		old_locus_tag=BT2976,BT_2976
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3754921	3755505	+	WP_008761811.1	WP_008761811.1		FKBP-type peptidyl-prolyl cis-trans isomerase			BT_RS15080	585	194	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3755526	3756401	+							BT_RS15085	876		old_locus_tag=BT2977,BT_2977
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3755526	3756401	+	WP_008761810.1	WP_008761810.1		FKBP-type peptidyl-prolyl cis-trans isomerase			BT_RS15085	876	291	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3756562	3757026	+							BT_RS15090	465		old_locus_tag=BT2978,BT_2978
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3756562	3757026	+	WP_005928359.1	WP_005928359.1		Lrp/AsnC ligand binding domain-containing protein			BT_RS15090	465	154	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3757031	3757342	+							BT_RS15095	312		old_locus_tag=BT2979,BT_2979
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3757031	3757342	+	WP_008767264.1	WP_008767264.1		DUF4491 family protein			BT_RS15095	312	103	
gene	tRNA	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3757436	3757509	+							BT_RS15100	74		old_locus_tag=BT_t53
tRNA		GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3757436	3757509	+				tRNA-Ile			BT_RS15100	74		anticodon=CAT
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3757652	3758920	+							BT_RS15105	1269		old_locus_tag=BT2980,BT_2980
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3757652	3758920	+	WP_011108551.1	WP_011108551.1		phage integrase SAM-like domain-containing protein			BT_RS15105	1269	422	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3758999	3759865	+							BT_RS15110	867		old_locus_tag=BT2981,BT_2981
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3758999	3759865	+	WP_011108552.1	WP_011108552.1		hypothetical protein			BT_RS15110	867	288	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3760000	3760893	+							BT_RS15115	894		old_locus_tag=BT2982,BT_2982
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3760000	3760893	+	WP_011108553.1	WP_011108553.1		hypothetical protein			BT_RS15115	894	297	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3761061	3762671	+							BT_RS15120	1611		old_locus_tag=BT2983,BT_2983
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3761061	3762671	+	WP_011108554.1	WP_011108554.1		DEAD/DEAH box helicase family protein			BT_RS15120	1611	536	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3763007	3764026	+							BT_RS15125	1020		old_locus_tag=BT2984,BT_2984
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3763007	3764026	+	WP_048699232.1	WP_048699232.1		DUF3871 family protein			BT_RS15125	1020	339	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3764113	3764559	+							BT_RS15130	447		old_locus_tag=BT2985,BT_2985
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3764113	3764559	+	WP_011108556.1	WP_011108556.1		JAB domain-containing protein			BT_RS15130	447	148	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3764710	3765297	+							BT_RS15135	588		old_locus_tag=BT2986,BT_2986
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3764710	3765297	+	WP_011108557.1	WP_011108557.1		tyrosine-type recombinase/integrase			BT_RS15135	588	195	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3766049	3766345	+							BT_RS15145	297		old_locus_tag=BT2987,BT_2987
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3766049	3766345	+	WP_011108558.1	WP_011108558.1		hypothetical protein			BT_RS15145	297	98	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3766460	3766852	+							BT_RS15150	393		old_locus_tag=BT2988,BT_2988
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3766460	3766852	+	WP_011108559.1	WP_011108559.1		hypothetical protein			BT_RS15150	393	130	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3766875	3768077	+							BT_RS15155	1203		old_locus_tag=BT2989,BT_2989
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3766875	3768077	+	WP_011108560.1	WP_011108560.1		hypothetical protein			BT_RS15155	1203	400	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3768976	3770463	+							BT_RS15160	1488		old_locus_tag=BT2990,BT_2990
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3768976	3770463	+	WP_022470526.1	WP_022470526.1		tyrosine-type recombinase/integrase			BT_RS15160	1488	495	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3770484	3771737	+							BT_RS15165	1254		old_locus_tag=BT2991,BT_2991
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3770484	3771737	+	WP_022470527.1	WP_022470527.1		DUF6043 family protein			BT_RS15165	1254	417	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3771937	3772254	+							BT_RS15170	318		
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3771937	3772254	+	WP_022470528.1	WP_022470528.1		DUF3853 family protein			BT_RS15170	318	105	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3772259	3773644	+							BT_RS15175	1386		old_locus_tag=BT2992,BT_2992
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3772259	3773644	+	WP_055169705.1	WP_055169705.1		virulence-associated E family protein			BT_RS15175	1386	461	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3773781	3774128	+							BT_RS15180	348		
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3773781	3774128	+	WP_022470529.1	WP_022470529.1		hypothetical protein			BT_RS15180	348	115	
gene	pseudogene	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3774178	3774567	+							BT_RS24695	390		partial;pseudo
CDS	without_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3774178	3774567	+				hypothetical protein			BT_RS24695	390		partial;pseudo
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3775172	3775579	+							BT_RS15190	408		old_locus_tag=BT2994,BT_2994
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3775172	3775579	+	WP_011108565.1	WP_011108565.1		hypothetical protein			BT_RS15190	408	135	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3775595	3776806	+							BT_RS15195	1212		old_locus_tag=BT2995,BT_2995
